"vessel","trip","haul","surveyarea","typehaul"
"KW172","DD0717",2,"1","C"
"KW172","DD0717",3,"1","C"
"KW172","DD0717",4,"1","C"
"KW172","DD0717",5,"1","C"
"KW172","DD0717",6,"1","C"
"KW172","DD0717",7,"1","C"
"KW172","DD0717",8,"1","C"
"KW172","DD0717",9,"1","C"
"KW172","DD0817",2,"2","S"
"PH2200","W61017",2,"2","C"
"PH2200","W61017",9,"2","S"
"FR487","SB0217",4,"3","C"
"FR487","SB0217",5,"3","C"
"FR487","SB0317",6,"3","C"
"FR487","SB0317",7,"3","C"
"FR487","SB0317",8,"3","C"
"FR487","SB0417",9,"3","C"
"FR487","SB0417",10,"3","C"
"FR487","SB0417",11,"3","C"
"KW172","DD0817",15,"3","C"
"KW172","DD0817",16,"3","C"
"LK419","AT1017",5,"3","C"
"PD265","LB0117",9,"3","C"
"PD265","LB0117",10,"3","C"
"PD265","LB0117",11,"3","C"
"PD265","LB0117",12,"3","C"
"PH2200","W61017",4,"3","C"
"PH2200","W61017",5,"3","C"
"PH2200","W61017",6,"3","C"
"PH2200","W61017",7,"3","C"
"PH2200","W61017",8,"3","C"
"PH2200","W61017",10,"3","C"
"FR487","SB0117",1,"4","S"
"FR487","SB0117",2,"4","S"
"KW172","DD0817",3,"4","S"
